lastname,firstname,phone,email,password,pseudo,site
Verdier,Nooi,899738715,legros.audreya@lejeune.org,123456,MargotValentin,TEST
Begue,Alain,+33 (0)3 51 82 73 33,claude88a@lebrun.fr,123456,ThomasChauvet,TEST
Weber,Laetitia,+33 5 04 51 54 22,cecile.goncalvesa@hotmail.fr,123456,MargauddelaSauvage,TEST
Fischer,Renl,+33 (0)9 49 43 22 68,laine.aureliea@texier.fr,123456,AuroreBuisson,TEST
Lebon,Nomi,451300406,poirier.veroniquea@laposte.net,123456,ChristelleWeiss,TEST
Verdier,Nooi,899738715,aaudreya@lejeune.org,123456,MargotValentin,TEST
Begue,Alain,+33 (0)3 51 82 73 33,claude88a@lebrun.fr,123456,ThomasChauvet,TEST
Weber,Laetitia,+33 5 04 51 54 22,cecile.goncalvesa@hotmail.fr,123456,MargauddelaSauvage,TEST
Fischer,Renl,+33 (0)9 49 43 22 68,laine.aureliea@texier.fr,123456,AuroreBuisson,TEST
Lebon,Nomi,451300406,poirier.veroniquea@laposte.net,123456,ChristelleWeiss,TEST
